S3_Bundesland,F3_Haupteinkaufsstaette,F4_EKS_Umfeld
11,Netto (Rot),2
4,Rewe,2
9,Rewe,2
10,Aldi Nord,1
10,Rewe,2
9,Rewe,2
2,Andere,2
7,Aldi Süd,2
9,Edeka,2
7,Aldi Süd,2
2,Norma,2
10,Lidl,2
10,Rewe,2
3,Andere,2
3,Edeka,2
2,Edeka,1
10,Aldi Süd,1
9,Edeka,1
5,Alnatura,2
1,Aldi Süd,2
10,Kaufland,1
3,Kaufland,2
10,Netto (Rot),2
1,Netto (Rot),1
4,Kaufland,2
3,Rewe,2
4,Kaufland,2
10,Real,2
2,Kaufland,2
13,Rewe,2
3,Rewe,2
9,Andere,2
13,Kaufland,2
2,Kaufland,2
10,Edeka,1
3,Amazon,1
12,Aldi Süd,2
2,Lidl,2
9,Aldi Nord,2
14,Netto (Rot),2
4,Penny,2
2,Lidl,2
7,Rewe,2
1,Edeka,1
15,Rewe,2
9,Rewe,2
1,Rewe,2
15,Penny,2
10,Netto (Rot),2
10,Rewe,2
9,Edeka,2
6,Rewe,2
10,Aldi Süd,2
2,Lidl,2
10,Rewe,2
10,Edeka,2
4,Edeka,2
2,Aldi Süd,2
3,Andere,2
8,Netto (Rot),2
14,Rewe,2
5,Lidl,2
7,Netto (Rot),2
13,Edeka,1
16,Netto (Rot),1
10,Aldi Süd,2
3,Kaufland,2
11,Aldi Süd,2
13,Edeka,2
2,Aldi Süd,2
1,Aldi Süd,2
1,Rewe,2
10,Netto (Rot),1
7,Lidl,2
12,Aldi Süd,2
9,Edeka,2
7,Edeka,2
1,Edeka,2
15,Famila,2
10,Rewe,2
9,Lidl,1
16,Netto (Rot),2
7,Rewe,2
9,Aldi Nord,2
10,Aldi Süd,2
3,Penny,2
1,Lidl,1
15,Edeka,2
14,Rewe,2
6,Lidl,1
1,Kaufland,2
12,Rewe,2
10,Lidl,2
3,Aldi Nord,2
1,Aldi Süd,2
14,Edeka,2
4,Penny,2
9,Edeka,2
7,Netto (Rot),2
15,Aldi Nord,2
10,Edeka,1
10,Lidl,2
2,Tegut,2
9,Aldi Nord,2
9,Edeka,2
10,Lidl,2
15,Netto (Rot),2
9,Kaufland,2
2,Kaufland,2
10,Rewe,2
9,Kaufland,2
1,Lidl,2
11,Lidl,2
10,Aldi Süd,2
11,Edeka,2
4,Netto (Rot),2
2,Norma,1
10,Real,2
9,Penny,2
6,Famila,2
2,Aldi Süd,2
11,Kaufland,2
10,Netto (Rot),2
10,Aldi Nord,2
10,Lidl,1
10,Lidl,2
15,Lidl,1
9,Real,2
16,Rewe,2
10,Aldi Süd,1
2,Netto (Schwarz),1
11,Rewe,2
9,Lidl,2
2,Norma,2
3,Edeka,2
9,Lidl,1
8,Real,2
2,Rewe,2
10,Lidl,2
11,Lidl,2
13,Netto (Rot),1
2,Penny,2
10,Netto (Rot),1
15,Edeka,2
5,Edeka,2
10,Rewe,2
10,Aldi Süd,2
9,Lidl,2
9,Kaufland,2
10,Kaufland,2
10,Kaufland,2
8,Lidl,2
9,Rewe,2
13,Kaufland,2
10,Edeka,2
11,Lidl,2
13,Edeka,2
12,Real,2
10,Edeka,2
14,Edeka,2
1,Lidl,2
10,Rewe,1
16,Kaufland,2
14,Netto (Rot),2
10,Rewe,2
13,Penny,1
10,Real,2
7,Edeka,1
1,Edeka,2
5,Aldi Nord,1
16,Kaufland,1
2,Edeka,2
14,Lidl,2
2,Kaufland,2
13,Kaufland,2
1,Aldi Süd,2
16,Lidl,2
2,Aldi Süd,2
9,Edeka,2
2,Netto (Rot),2
5,Edeka,2
