F3_Haupteinkaufsstaette,Overall,Snacks,Regional,Private,Vegan,Branded,FruitVeggies,BreadnBaked,Flesh,Sausages,Dairy,Sweets,Alcoholic,SoftDrinks,Cosmetics,Utensils
Netto (Rot),4,1,4,2,3,1,5,5,4,1,3,1,2,1,4,4
Rewe,5,1,1,2,3,1,4,1,2,1,3,1,4,5,2,4
Rewe,5,1,3,2,3,1,3,3,5,3,1,4,4,1,4,4
Aldi Nord,5,1,1,2,3,1,4,1,2,1,3,1,4,5,4,4
Rewe,3,4,4,3,3,4,3,1,4,5,1,2,4,1,4,4
Rewe,5,4,5,2,3,5,4,1,1,5,3,4,1,1,4,3
Andere,5,3,4,2,3,1,4,2,1,1,3,5,4,5,4,4
Aldi Süd,5,3,1,4,3,1,3,5,4,4,1,2,4,1,4,5
Edeka,3,1,4,2,3,1,5,5,4,4,2,4,4,5,4,4
Aldi Süd,4,1,4,2,3,2,3,5,4,3,4,5,4,1,4,2
Norma,5,1,1,2,3,1,4,5,4,4,3,1,4,5,4,4
Lidl,4,1,4,2,3,1,4,1,4,3,3,1,4,5,4,1
Rewe,3,4,4,4,3,2,4,5,4,3,2,2,4,1,4,4
Andere,3,1,4,2,3,5,3,5,4,4,4,3,4,2,4,4
Edeka,4,5,3,3,3,1,1,5,3,3,2,2,4,1,4,4
Edeka,2,5,5,2,4,2,2,4,5,2,5,3,3,3,3,5
Aldi Süd,2,1,4,2,4,1,3,4,5,2,1,3,4,1,4,4
Edeka,5,1,4,2,3,1,5,5,4,3,2,1,4,5,2,4
Alnatura,5,1,4,2,2,1,3,2,4,3,1,2,4,1,4,4
Aldi Süd,4,1,4,3,3,5,2,3,5,2,4,2,4,3,4,4
Kaufland,5,1,4,2,3,1,4,1,2,1,3,1,4,5,2,3
Kaufland,3,1,4,2,3,1,3,5,4,4,1,2,4,1,1,4
Netto (Rot),5,1,4,2,3,1,4,5,1,1,2,1,4,5,4,4
Netto (Rot),5,1,1,2,3,1,4,5,4,5,3,2,2,1,4,4
Kaufland,3,1,5,2,2,4,1,5,4,3,3,4,4,1,2,4
Rewe,4,1,3,2,3,1,5,5,4,3,1,1,2,1,4,4
Kaufland,3,1,4,2,4,4,1,5,3,1,2,2,3,5,1,4
Real,4,1,3,5,3,2,5,2,4,3,4,5,2,3,4,2
Kaufland,3,1,4,2,3,1,5,1,4,1,3,2,4,1,4,4
Rewe,3,1,5,2,4,2,5,5,4,3,4,3,4,4,4,4
Rewe,5,1,4,2,3,1,3,1,2,1,2,1,1,5,4,4
Andere,3,1,3,2,3,1,4,5,2,1,2,5,4,1,4,4
Kaufland,5,1,4,2,4,1,3,5,3,5,2,5,4,1,4,4
Kaufland,5,1,4,2,3,1,4,1,2,1,3,1,1,5,4,4
Edeka,4,1,5,2,4,2,5,5,4,4,1,2,4,1,4,4
Amazon,2,1,4,2,3,4,2,4,4,3,1,3,4,1,4,4
Aldi Süd,1,1,4,2,3,1,2,4,2,1,3,2,4,4,4,4
Lidl,5,1,1,2,3,1,1,1,2,3,1,2,4,3,4,4
Aldi Nord,5,1,4,2,2,1,3,1,1,1,3,1,4,5,2,4
