F3_Haupteinkaufsstaette;F7_2_ERWARTUNGEN_1;F7_1.1_ZUFR_BEGR_offen
Netto (Rot);4;ist soweit ok
Rewe;5;Große Auswahl, gute Qualität, nettes Personal
Rewe;5;Gibt dort alles was ich brauche
Aldi Nord;5;Weil ich dort fast alles zu einem günstigen Preis bekomme
Rewe;5;Ist eine sehr neue Filiale die wirklich toll ist
Rewe;5;Sehr freundliches Personal und eine große Auswahl
Andere;5;Übersichtlich, freundlich,gute Produkte,gute Preise,Frische
Aldi Süd;5;Immer alle Produkte verfügbar
Edeka;5;Freundliche Bedienung und man bekommt alles was man braucht.
Aldi Süd;2;Soweit ganz gut, nur ärgerlich manchmal wenn man nach Feierabend einkaufen will und das gewünschte Fleisch etc schon ausverkauft ist.
Norma;4;Bekomme alles was ich für den täglichen Bedarf brauche
Lidl;1;Nach dem Umbau sind die Gänge viel zu eng geworden die haben wenig Mitarbeiter müssen an der Kasse sehr lange warten. Früher war es besser werden wohl wo anders einkaufen wenn es so weitergeht.
Rewe;4;Sehr übersichtlich Nettes Personal Alle Produkte
Andere;2;man findet vieles, aber natürlich gibts es lange nicht diese Vielfalt in der Tiefe, da der Markt einfach nur eine bestimmte Größe hat
Edeka;4;Gutes Angebot faire Preise nette Verkäuferinnen
Edeka;3;ka
Aldi Süd;4;...
Edeka;5;dfgbhnm zhjk
Alnatura;5;gute preise
Aldi Süd;2;Regale werden oft nicht aufgefüllt. Tw. verschimmeltes Obst in der Auslage.
Kaufland;5;Weil sie alles hat was ich brauche
Kaufland;4;Alles in einem Laden
Netto (Rot);4;es liegt sehr nah für mich
Netto (Rot);4;hat alles für den täglichen gebrauch
Kaufland;4;Alles im  Angebot, sauber übersichtlich
Rewe;3;Sehr voll, unentspanntes publikum
Kaufland;4;alles ok
Real;2;AGrundsätzlich alles gut jedoch als vegetarisch, Tendenz vegan lebender Haushalt sehen wir zwar das sich beim Angebot was tut, aber da geht noch was!
Kaufland;4;Meistens finde ich alles was ich auf dem Einkaufszettel habe
